#DRSE 153 Mpc
#frequency seismic suspension_thermal mirror_thermal quantum quantum_squeezing total
4.136e+00 1.393e-20 1.820e-21 1.067e-23 1.734e-21 3.563e-21 1.416e-20
4.175e+00 1.303e-20 1.773e-21 1.062e-23 1.702e-21 3.498e-21 1.326e-20
4.213e+00 1.219e-20 1.728e-21 1.058e-23 1.671e-21 3.435e-21 1.242e-20
4.252e+00 1.140e-20 1.683e-21 1.053e-23 1.640e-21 3.372e-21 1.164e-20
4.292e+00 1.067e-20 1.640e-21 1.048e-23 1.610e-21 3.311e-21 1.091e-20
4.331e+00 9.979e-21 1.599e-21 1.044e-23 1.581e-21 3.251e-21 1.023e-20
4.372e+00 9.336e-21 1.558e-21 1.039e-23 1.552e-21 3.192e-21 9.592e-21
4.412e+00 8.736e-21 1.518e-21 1.034e-23 1.523e-21 3.134e-21 8.997e-21
4.453e+00 8.175e-21 1.480e-21 1.030e-23 1.495e-21 3.078e-21 8.441e-21
4.494e+00 7.650e-21 1.443e-21 1.025e-23 1.468e-21 3.022e-21 7.922e-21
4.536e+00 7.159e-21 1.406e-21 1.021e-23 1.441e-21 2.967e-21 7.437e-21
4.578e+00 6.701e-21 1.371e-21 1.016e-23 1.415e-21 2.913e-21 6.984e-21
4.620e+00 6.272e-21 1.337e-21 1.012e-23 1.389e-21 2.861e-21 6.561e-21
4.663e+00 5.871e-21 1.303e-21 1.007e-23 1.363e-21 2.809e-21 6.167e-21
4.706e+00 5.496e-21 1.271e-21 1.003e-23 1.338e-21 2.758e-21 5.798e-21
4.750e+00 5.145e-21 1.239e-21 9.981e-24 1.314e-21 2.708e-21 5.453e-21
4.794e+00 4.817e-21 1.209e-21 9.937e-24 1.290e-21 2.659e-21 5.131e-21
4.838e+00 4.511e-21 1.179e-21 9.892e-24 1.266e-21 2.611e-21 4.831e-21
4.883e+00 4.224e-21 1.150e-21 9.848e-24 1.243e-21 2.564e-21 4.550e-21
4.928e+00 3.955e-21 1.121e-21 9.804e-24 1.220e-21 2.517e-21 4.288e-21
4.974e+00 3.704e-21 1.094e-21 9.761e-24 1.197e-21 2.472e-21 4.044e-21
5.020e+00 3.469e-21 1.067e-21 9.717e-24 1.176e-21 2.427e-21 3.815e-21
5.066e+00 3.249e-21 1.041e-21 9.674e-24 1.154e-21 2.383e-21 3.602e-21
5.113e+00 3.044e-21 1.015e-21 9.631e-24 1.133e-21 2.340e-21 3.403e-21
5.161e+00 2.851e-21 9.905e-22 9.588e-24 1.112e-21 2.298e-21 3.217e-21
5.209e+00 2.671e-21 9.664e-22 9.546e-24 1.092e-21 2.256e-21 3.043e-21
5.257e+00 2.502e-21 9.429e-22 9.503e-24 1.072e-21 2.215e-21 2.881e-21
5.305e+00 2.345e-21 9.200e-22 9.461e-24 1.052e-21 2.175e-21 2.729e-21
5.355e+00 2.197e-21 8.977e-22 9.419e-24 1.033e-21 2.136e-21 2.588e-21
5.404e+00 2.059e-21 8.760e-22 9.377e-24 1.014e-21 2.098e-21 2.456e-21
5.454e+00 1.929e-21 8.549e-22 9.335e-24 9.950e-22 2.060e-21 2.333e-21
5.505e+00 1.808e-21 8.343e-22 9.294e-24 9.767e-22 2.023e-21 2.218e-21
5.556e+00 1.694e-21 8.142e-22 9.253e-24 9.588e-22 1.986e-21 2.110e-21
5.607e+00 1.588e-21 7.947e-22 9.212e-24 9.412e-22 1.950e-21 2.010e-21
5.659e+00 1.489e-21 7.757e-22 9.171e-24 9.239e-22 1.915e-21 1.916e-21
5.712e+00 1.396e-21 7.571e-22 9.130e-24 9.069e-22 1.880e-21 1.828e-21
5.764e+00 1.308e-21 7.391e-22 9.089e-24 8.903e-22 1.847e-21 1.747e-21
5.818e+00 1.227e-21 7.215e-22 9.049e-24 8.739e-22 1.813e-21 1.670e-21
5.872e+00 1.150e-21 7.043e-22 9.009e-24 8.578e-22 1.781e-21 1.598e-21
5.926e+00 1.078e-21 6.876e-22 8.969e-24 8.421e-22 1.749e-21 1.531e-21
5.981e+00 1.011e-21 6.713e-22 8.929e-24 8.266e-22 1.717e-21 1.468e-21
6.036e+00 9.482e-22 6.554e-22 8.890e-24 8.114e-22 1.686e-21 1.410e-21
6.092e+00 8.893e-22 6.400e-22 8.850e-24 7.965e-22 1.656e-21 1.355e-21
6.149e+00 8.340e-22 6.249e-22 8.811e-24 7.818e-22 1.626e-21 1.303e-21
6.206e+00 7.823e-22 6.102e-22 8.772e-24 7.675e-22 1.597e-21 1.254e-21
6.263e+00 7.338e-22 5.959e-22 8.733e-24 7.534e-22 1.568e-21 1.209e-21
6.321e+00 6.883e-22 5.820e-22 8.694e-24 7.395e-22 1.540e-21 1.166e-21
6.380e+00 6.457e-22 5.684e-22 8.656e-24 7.259e-22 1.512e-21 1.126e-21
6.439e+00 6.058e-22 5.551e-22 8.617e-24 7.125e-22 1.485e-21 1.088e-21
6.498e+00 5.684e-22 5.422e-22 8.579e-24 6.994e-22 1.458e-21 1.052e-21
6.559e+00 5.333e-22 5.297e-22 8.541e-24 6.866e-22 1.432e-21 1.018e-21
6.619e+00 5.004e-22 5.174e-22 8.503e-24 6.739e-22 1.406e-21 9.861e-22
6.681e+00 4.696e-22 5.055e-22 8.466e-24 6.615e-22 1.381e-21 9.559e-22
6.743e+00 4.407e-22 4.938e-22 8.428e-24 6.493e-22 1.356e-21 9.273e-22
6.805e+00 4.136e-22 4.825e-22 8.391e-24 6.374e-22 1.332e-21 9.001e-22
6.868e+00 3.882e-22 4.715e-22 8.354e-24 6.256e-22 1.308e-21 8.744e-22
6.932e+00 3.644e-22 4.607e-22 8.317e-24 6.141e-22 1.285e-21 8.499e-22
6.996e+00 3.420e-22 4.503e-22 8.280e-24 6.028e-22 1.262e-21 8.265e-22
7.061e+00 3.211e-22 4.401e-22 8.243e-24 5.917e-22 1.239e-21 8.043e-22
7.126e+00 3.014e-22 4.301e-22 8.207e-24 5.808e-22 1.217e-21 7.831e-22
7.192e+00 2.830e-22 4.205e-22 8.170e-24 5.701e-22 1.195e-21 7.629e-22
7.259e+00 2.657e-22 4.111e-22 8.134e-24 5.596e-22 1.174e-21 7.435e-22
7.326e+00 2.495e-22 4.019e-22 8.098e-24 5.493e-22 1.153e-21 7.250e-22
7.394e+00 2.343e-22 3.930e-22 8.062e-24 5.391e-22 1.132e-21 7.072e-22
7.462e+00 2.200e-22 3.843e-22 8.027e-24 5.292e-22 1.112e-21 6.901e-22
7.531e+00 2.066e-22 3.759e-22 7.991e-24 5.194e-22 1.092e-21 6.737e-22
7.601e+00 1.941e-22 3.677e-22 7.956e-24 5.099e-22 1.072e-21 6.580e-22
7.672e+00 1.823e-22 3.598e-22 7.921e-24 5.005e-22 1.053e-21 6.428e-22
7.743e+00 1.712e-22 3.520e-22 7.886e-24 4.912e-22 1.034e-21 6.282e-22
7.814e+00 1.608e-22 3.445e-22 7.851e-24 4.822e-22 1.016e-21 6.141e-22
7.887e+00 1.511e-22 3.372e-22 7.816e-24 4.732e-22 9.979e-22 6.005e-22
7.960e+00 1.420e-22 3.302e-22 7.782e-24 4.645e-22 9.801e-22 5.874e-22
8.034e+00 1.334e-22 3.233e-22 7.747e-24 4.559e-22 9.626e-22 5.747e-22
8.108e+00 1.253e-22 3.167e-22 7.713e-24 4.475e-22 9.455e-22 5.624e-22
8.183e+00 1.178e-22 3.103e-22 7.679e-24 4.392e-22 9.287e-22 5.506e-22
8.259e+00 1.107e-22 3.041e-22 7.645e-24 4.311e-22 9.121e-22 5.391e-22
8.335e+00 1.040e-22 2.981e-22 7.611e-24 4.232e-22 8.959e-22 5.280e-22
8.412e+00 9.774e-23 2.923e-22 7.578e-24 4.153e-22 8.800e-22 5.173e-22
8.490e+00 9.187e-23 2.868e-22 7.544e-24 4.077e-22 8.644e-22 5.069e-22
8.569e+00 8.635e-23 2.814e-22 7.511e-24 4.001e-22 8.490e-22 4.968e-22
8.648e+00 8.117e-23 2.763e-22 7.478e-24 3.927e-22 8.339e-22 4.871e-22
8.729e+00 7.631e-23 2.714e-22 7.445e-24 3.854e-22 8.191e-22 4.776e-22
8.809e+00 7.174e-23 2.668e-22 7.412e-24 3.783e-22 8.046e-22 4.685e-22
8.891e+00 6.745e-23 2.624e-22 7.379e-24 3.713e-22 7.903e-22 4.597e-22
8.973e+00 6.342e-23 2.582e-22 7.347e-24 3.644e-22 7.763e-22 4.512e-22
9.056e+00 5.964e-23 2.543e-22 7.314e-24 3.577e-22 7.626e-22 4.429e-22
9.140e+00 5.608e-23 2.506e-22 7.282e-24 3.510e-22 7.491e-22 4.350e-22
9.225e+00 5.274e-23 2.473e-22 7.250e-24 3.445e-22 7.358e-22 4.274e-22
9.310e+00 4.961e-23 2.442e-22 7.218e-24 3.382e-22 7.228e-22 4.201e-22
9.397e+00 4.666e-23 2.414e-22 7.186e-24 3.319e-22 7.101e-22 4.131e-22
9.484e+00 4.389e-23 2.390e-22 7.155e-24 3.257e-22 6.975e-22 4.065e-22
9.572e+00 4.129e-23 2.370e-22 7.123e-24 3.197e-22 6.852e-22 4.001e-22
9.660e+00 3.884e-23 2.353e-22 7.092e-24 3.138e-22 6.731e-22 3.942e-22
9.750e+00 3.655e-23 2.341e-22 7.060e-24 3.079e-22 6.613e-22 3.886e-22
9.840e+00 3.439e-23 2.334e-22 7.029e-24 3.022e-22 6.496e-22 3.834e-22
9.931e+00 3.236e-23 2.332e-22 6.998e-24 2.966e-22 6.382e-22 3.787e-22
1.002e+01 3.045e-23 2.336e-22 6.968e-24 2.911e-22 6.269e-22 3.745e-22
1.012e+01 2.866e-23 2.347e-22 6.937e-24 2.857e-22 6.159e-22 3.709e-22
1.021e+01 2.697e-23 2.367e-22 6.906e-24 2.804e-22 6.051e-22 3.680e-22
1.030e+01 2.539e-23 2.395e-22 6.876e-24 2.751e-22 5.945e-22 3.657e-22
1.040e+01 2.390e-23 2.435e-22 6.846e-24 2.700e-22 5.840e-22 3.644e-22
1.050e+01 2.250e-23 2.487e-22 6.816e-24 2.650e-22 5.738e-22 3.642e-22
1.059e+01 2.118e-23 2.555e-22 6.786e-24 2.601e-22 5.637e-22 3.652e-22
1.069e+01 1.994e-23 2.642e-22 6.756e-24 2.552e-22 5.539e-22 3.679e-22
1.079e+01 1.878e-23 2.752e-22 6.726e-24 2.505e-22 5.442e-22 3.727e-22
1.089e+01 1.768e-23 2.893e-22 6.696e-24 2.458e-22 5.347e-22 3.801e-22
1.099e+01 1.665e-23 3.072e-22 6.667e-24 2.412e-22 5.253e-22 3.910e-22
1.109e+01 1.569e-23 3.302e-22 6.638e-24 2.367e-22 5.161e-22 4.066e-22
1.120e+01 1.478e-23 3.602e-22 6.609e-24 2.323e-22 5.071e-22 4.289e-22
1.130e+01 1.392e-23 4.001e-22 6.580e-24 2.280e-22 4.983e-22 4.608e-22
1.140e+01 1.311e-23 4.550e-22 6.551e-24 2.237e-22 4.896e-22 5.073e-22
1.151e+01 1.236e-23 5.339e-22 6.522e-24 2.195e-22 4.811e-22 5.774e-22
1.162e+01 1.164e-23 6.548e-22 6.493e-24 2.154e-22 4.727e-22 6.894e-22
1.172e+01 1.097e-23 8.604e-22 6.465e-24 2.114e-22 4.645e-22 8.861e-22
1.183e+01 1.034e-23 1.281e-21 6.436e-24 2.074e-22 4.564e-22 1.298e-21
1.194e+01 9.746e-24 2.604e-21 6.408e-24 2.036e-22 4.485e-22 2.612e-21
1.205e+01 9.187e-24 4.107e-20 6.380e-24 1.998e-22 4.407e-22 4.107e-20
1.216e+01 8.661e-24 2.262e-21 6.352e-24 1.960e-22 4.331e-22 2.270e-21
1.228e+01 8.166e-24 1.153e-21 6.324e-24 1.923e-22 4.256e-22 1.169e-21
1.239e+01 7.700e-24 7.709e-22 6.296e-24 1.887e-22 4.182e-22 7.938e-22
1.251e+01 7.261e-24 5.780e-22 6.269e-24 1.852e-22 4.110e-22 6.070e-22
1.262e+01 6.848e-24 4.620e-22 6.241e-24 1.817e-22 4.039e-22 4.965e-22
1.274e+01 6.459e-24 3.848e-22 6.214e-24 1.783e-22 3.969e-22 4.242e-22
1.286e+01 6.093e-24 3.298e-22 6.187e-24 1.750e-22 3.901e-22 3.734e-22
1.298e+01 5.748e-24 2.887e-22 6.159e-24 1.717e-22 3.834e-22 3.360e-22
1.310e+01 5.424e-24 2.569e-22 6.132e-24 1.684e-22 3.768e-22 3.073e-22
